uuid,Площадь,Кол-во Комнат,Этаж Квартиры,Ремонт,Экспозиция,Год Постройки,Год Ввода в Эксплуатацию,Этажей в Доме,Общая Площадь Дома,Материал Перекрытий,Материал Стен,Газ,Район,Почтовый Индекс,Широта,Долгота,Цена за квадрат
206c01f7-58a0-4dba-b374-bc4b694fdd7e,71,3,8,2,1608,2011.0,2012.0,18.0,19975.2,1,3,2,4,420066.0,55.81864,49.10822,211268
e650a0a8-7cf2-46b5-a17b-f3d8269dd9ba,39,1,2,1,1911,2007.0,2008.0,9.0,10456.6,0,2,3,4,420132.0,55.838723,49.141278,204872
357cff52-c68c-4e60-bafe-ee68a808e11e,40,1,10,1,1406,2016.0,2016.0,20.0,6215.795935044526,1,4,1,5,420087.0,55.765306,49.144637,232911
333173ad-2107-4191-81ee-e79099199f87,34,1,2,2,1498,2021.0,2021.0,12.0,6215.795935044526,1,3,2,5,420010.0,55.733457,49.17721,207715
c9e15fb1-161b-4dd2-b530-4165d6581ecf,52,2,8,1,1609,2019.0,2019.0,20.0,38411.5,2,2,2,6,420081.0,55.784501,49.193946,205825
d4b9407a-0130-4630-bf5e-dcb45c244910,31,1,14,0,1827,2019.0,2019.0,20.0,15050.1,1,3,2,6,420125.0,55.793442,49.2481872,219355
2d2238e8-af44-436c-a56e-6489e5810ea0,32,1,4,1,1710,2008.0,2008.0,14.0,6179.4,1,2,2,4,420137.0,55.838278,49.15265,221362
298bb41d-6ed7-413f-be5d-2022af2f100f,35,1,11,0,1546,2023.0,2023.0,19.0,1800.0,1,3,1,6,420088.0,55.8019,49.195841,217143
3a052730-8e40-4454-9c87-d9b178177a6c,29,1,12,1,1546,2015.0,2015.0,25.0,10827.9,1,2,2,2,422034.0,55.821583,49.079581,228858
90559c99-b0a9-43b3-a340-f6d2469b530c,38,1,15,2,1731,2017.0,2017.0,21.0,6215.795935044526,1,3,2,5,420059.0,55.765539,49.143829,217277
54c3a83b-e52f-4b56-a072-f04565af3897,80,3,12,1,1518,2016.0,2016.0,18.0,6215.795935044526,1,4,1,4,420126.0,55.815079,49.13808,228750
bd37e9e8-6477-4c61-b5fb-a6fa45bf27f1,17,1,1,1,1673,2003.0,2003.0,10.0,4921.51,1,7,3,6,420140.0,55.772061,49.238493,223214
6096721f-08c9-4c69-92f9-8158ab769c32,82,3,4,1,1729,2007.0,2008.0,11.0,13097.1,1,3,2,4,420126.0,55.816298,49.135088,226994
acfd5f9b-63d8-473d-8c1e-f30c5b7f47d0,35,1,22,3,1400,2021.0,2021.0,24.0,31658.1,1,4,2,5,420104.0,55.75724080000001,49.19860764811537,230000
684aad56-d8f3-4e5c-9a8a-c0f4a96e1a25,42,1,18,1,1404,2021.0,2021.0,20.0,6215.795935044526,1,2,2,6,420061.0,55.803363,49.182843,214048
b80089a4-c925-4cdd-bc9a-5feea33b895a,62,2,3,0,1608,2022.0,2022.0,20.0,6215.795935044526,1,3,2,4,421001.0,55.816687,49.146389,223507
7579d8ad-dfbb-4455-9181-fdbe7cc54e7b,31,1,3,1,1883,2021.0,2021.0,19.0,6215.795935044526,1,7,2,6,420083.0,55.804364,49.238071,220779
5a713491-6e48-41f3-870f-41437a55e6cf,18,1,1,2,1911,1975.0,1975.0,5.0,3234.68,1,3,2,6,420073.0,55.784476,49.176644,218182
8dc5071b-facb-4740-a035-d161de3c2cee,65,2,4,1,1911,2015.0,2015.0,17.0,55650.9,0,2,2,2,420032.0,55.814082,49.070275,223062
99787a75-d6ca-4d6d-a300-2751d75dea40,33,1,14,0,1609,2022.0,2022.0,24.0,6215.795935044526,1,3,2,6,420089.0,55.780345,49.184496,218845
6c74db9e-499d-4d62-bcff-6da4f57c45ca,39,2,6,0,1498,2022.0,2022.0,19.0,6215.795935044526,4,6,2,4,420103.0,55.8213,49.126141,230000
dfb7f555-25ec-42c4-8f91-47d814a7a512,30,1,14,0,1547,2022.0,2022.0,19.0,6215.795935044526,1,2,2,6,420089.0,55.779221,49.193991,223333
3cf7fa34-8e36-448e-8f03-c1b98744fbfb,33,1,9,2,1881,1983.0,1983.0,9.0,21750.3,0,2,3,4,420133.0,55.832348,49.153144,210703
56003e1d-82e0-4929-8f90-26e963a423a6,33,1,18,2,1608,2020.0,2020.0,20.0,42611.8,1,7,2,6,420081.0,55.7829973,49.1909462,221212
9b5a606f-6b3a-4536-991b-9424631f7b98,40,1,8,2,1499,2013.0,2013.0,21.0,22591.26,1,3,2,4,421001.0,55.820051,49.144817,204489
4bbfd0f0-1c91-4ec0-9a18-6529f8838088,32,1,6,1,1546,2018.0,2018.0,10.0,6215.795935044526,1,3,2,6,420104.0,55.761122,49.198446,222741
1c7d32c6-3716-42fa-86e6-5add07c8bbef,56,2,13,1,1675,2020.0,2020.0,10.0,37031.6,1,7,2,6,420025.0,55.788439,49.216574,206075
f8625775-bd5d-46c9-a106-66a2695f4b7e,62,2,4,0,1608,2010.0,2010.0,12.0,6923.9,1,3,2,4,420126.0,55.81735,49.139544,224516
f9a575a9-0529-4c61-8b66-d1b63b4ba869,65,2,5,2,1785,1954.0,1956.0,5.0,4610.4,0,3,3,1,420021.0,55.784835,49.116062,212308
956a23ca-df5e-42c7-b92c-f75d62555502,27,1,5,2,1517,1976.0,1976.0,9.0,19479.97,1,3,3,6,420087.0,55.760905,49.17748,205556
85644d8f-1861-49ac-9c7a-6fcea2af2513,56,2,11,1,1762,2021.0,2021.0,20.0,13184.7,1,4,2,6,420125.0,55.78774755,49.25471856976515,225207
bcc6371f-e7f2-476b-9831-8e44379af199,36,1,1,1,1910,2023.0,2023.0,19.0,1800.0,1,3,1,6,420088.0,55.8019,49.195841,221910
25aa9bd7-13b2-4ce9-b50e-788366d54b93,37,1,3,1,1679,2022.0,2022.0,25.0,6215.795935044526,1,6,2,5,420011.0,55.722872,49.184684,221440
5f0979bf-6659-4259-9073-24772d9832a8,62,2,3,1,1536,2007.0,2008.0,10.0,10907.0,1,2,2,4,421001.0,55.822377,49.14682,207439
3ac16e8a-8774-46f3-b3ca-bd41993f29f7,45,1,6,1,1673,2008.0,2009.0,9.0,39578.5,1,3,3,4,421001.0,55.822701,49.154016,213496
bf859bf5-e620-497d-9c3f-b93653d2811f,33,1,3,1,1789,1973.0,1973.0,9.0,5318.9,1,3,3,1,420043.0,55.784202,49.150683,216667
1e086bee-516c-46bd-b604-ff0a710f8f07,37,1,8,2,1546,2002.0,2002.0,16.0,12408.14,1,2,2,4,420103.0,55.819934,49.120383,211685
7fdc5039-bf35-4570-842f-ce14fa717a41,39,1,14,1,1517,2017.0,2018.0,19.0,6215.795935044526,1,2,2,6,420087.0,55.767919,49.172216,205656
d025a507-b1fb-4967-b180-75c3245b27f9,36,1,8,1,1731,2018.0,2018.0,15.0,6215.795935044526,1,4,2,5,420011.0,55.723481,49.168182,232213
1faa9a18-64f4-4bf8-a680-a29759232e0b,55,2,6,0,1852,2022.0,2022.0,11.0,6215.795935044526,1,2,2,1,420108.0,55.768891,49.092733,225455
a1dd0f00-b748-4d50-831b-9af94ff98bcf,39,1,5,3,1546,2013.0,2014.0,10.0,12148.8,1,4,3,4,420066.0,55.825922,49.109666,228753
0553cac6-d9dd-4917-a3b1-28429ae071a6,91,4,17,0,1373,2013.0,2013.0,17.0,9641.8,1,4,1,1,420107.0,55.7780182,49.1431828,230000
724b7f6e-d0ae-4a46-9f4d-bafe3ac65559,70,1,3,1,1372,2012.0,2012.0,6.0,6215.795935044526,1,3,1,1,420012.0,55.784865,49.133435,207143
ed2c935e-0300-4026-bb6c-044a4c71548d,43,2,7,0,1727,1998.0,1998.0,9.0,6215.795935044526,1,3,3,6,420087.0,55.807643,49.230462,209977
8566f380-1929-47f0-9e24-cd1bfb1fab63,14,1,1,1,1579,2002.0,2002.0,6.0,3706.7,0,2,3,3,420039.0,55.839062,49.061471,206429
84153178-dbf5-4df0-b35a-047850b530e3,51,2,5,1,1896,1998.0,1998.0,9.0,6215.795935044526,1,3,3,6,420087.0,55.762059,49.200468,234180
10b6b5a0-bf20-4632-91e0-8a7a130e14f7,37,1,20,1,1908,2019.0,2019.0,24.0,6215.795935044526,1,3,2,5,420011.0,55.722264,49.172521,225137
35a5175b-330d-4a85-8e2c-ef0260ccefd9,71,1,2,0,1784,2011.0,2011.0,22.0,22726.6,1,2,2,4,420103.0,55.818822,49.122395,213579
07c6388d-a25f-4280-b4c8-493184a96e64,34,1,2,2,1546,2019.0,2019.0,8.0,6215.795935044526,1,3,1,3,420044.0,55.835746,49.085582,221239
5ed7cb35-ebb1-49c2-9ea9-59b2736b73aa,50,2,7,0,1676,1998.0,1998.0,9.0,6215.795935044526,1,3,3,6,420087.0,55.817335,49.191907,208135
cf1b50f5-3736-45a7-9966-b8dcfd191c58,36,1,13,1,1789,2022.0,2022.0,18.0,6215.795935044526,1,4,2,6,420087.0,55.76604,49.176321,230528
771ea07a-d33c-407f-9974-1d01d1378ec3,46,1,9,1,1860,2014.0,2014.0,24.0,59922.1,1,3,2,6,420029.0,55.807531,49.181765,217174
76dc8abd-a707-4741-a62e-e2c82d7f405e,30,1,11,2,1639,2020.0,2020.0,20.0,6215.795935044526,1,2,2,6,420083.0,55.802234,49.23879,217391
fd6d2cf5-4eac-488b-96fa-ad1a0ace9be1,37,1,7,2,1639,1998.0,1998.0,9.0,6215.795935044526,1,3,3,6,420087.0,55.781666,49.187729,232240
fbcbf018-6863-4cf8-b521-e6743d9e3b28,50,2,8,1,1631,2015.0,2015.0,12.0,6215.795935044526,1,4,1,4,420124.0,55.823378,49.14585,220000
a2aeff82-8597-4fd1-9adc-5b61e7ef731a,30,1,4,2,1850,2011.0,2012.0,7.0,9550.7,0,2,3,6,420081.0,55.785068,49.188277,227723
356f855a-ff67-4b07-bb6b-f3d66ad3d464,53,3,5,2,1836,1969.0,1969.0,5.0,5979.1,0,2,3,1,420012.0,55.789163,49.142544,230189
3758eab9-d25b-4e9b-b7ca-2c6a43d1270f,53,2,1,1,1667,2007.0,2007.0,5.0,7985.4,0,2,3,2,420034.0,55.817977,49.08507,206767
2ef9afd5-39ca-4fa9-91b7-5198c2009078,36,1,2,1,1499,2001.0,2001.0,10.0,5993.0,0,2,3,4,420066.0,55.822008,49.112298,231639
d908177b-b803-4d6c-a8cf-38ede45b3ef1,32,1,3,3,1688,1998.0,1998.0,10.0,8703.34,0,2,3,4,420124.0,55.823838,49.114678,206250
e299b4d7-97e8-4c7b-8a59-9b8a92832874,17,1,1,1,1910,1983.0,1983.0,9.0,16829.14,1,2,3,0,420037.0,55.8611,49.074479,228070
c377622e-3e92-49e4-8764-1d003c0ed3b5,62,2,4,2,1608,2022.0,2022.0,20.0,6215.795935044526,1,3,2,4,421001.0,55.816687,49.146389,224194
9b104c57-7c1d-4a98-a026-aadb8701e0a8,50,1,2,2,1911,2007.0,2008.0,14.0,13481.0,0,2,2,4,420001.0,55.823849,49.15521,211000
f3a88f21-3c90-4bf9-8d73-f7f2e9ff7d19,61,3,2,1,1911,2022.0,2022.0,24.0,6215.795935044526,1,4,2,5,420138.0,55.735875,49.208822,225329
aeaa7d5c-f0fb-408d-9390-8fe8f27c2254,50,2,5,1,1769,1984.0,1984.0,9.0,15606.6,0,2,3,4,421001.0,55.82891,49.148356,206000
d347c27b-2ecd-47b2-8845-c278a492e06a,65,2,19,1,1609,2014.0,2015.0,20.0,20523.2,1,4,1,4,420126.0,55.81437495,49.13705996088203,228395
48c93e95-0e1d-4c9f-8138-c6d4d91a0516,48,2,6,1,1790,2012.0,2012.0,20.0,10354.8,1,4,2,5,420059.0,55.752308,49.161894,224742
fe3493af-8ddb-491b-a016-f5080d87c820,32,1,9,2,1675,1971.0,1971.0,9.0,10847.2,1,2,3,4,420044.0,55.827737,49.097269,211875
8ee2c5ca-eb88-4b6e-8fc6-921ff759c32a,33,1,9,2,1731,1994.0,1994.0,10.0,8903.1,0,2,3,4,420126.0,55.820506,49.130749,204545
4e88acfe-5e1d-4ee3-bcb9-f2493687a0b0,33,1,2,2,1911,1996.0,1996.0,8.0,10137.7,1,7,3,4,420103.0,55.821709,49.125431,227242
b306cbed-2c33-47fa-966b-3b8fa775182c,12,1,5,1,1761,1962.0,1962.0,5.0,3158.81,0,2,0,5,420087.0,55.768324,49.144709,208250
2fbf9fb7-5d42-4a38-a686-308de66cccef,24,1,2,0,1761,1936.0,1936.0,4.0,2485.17,6,2,3,1,420015.0,55.796223,49.133651,226337
9ac8441d-1af7-4f83-9535-3f412e54ded6,34,1,10,1,1911,2007.0,2007.0,10.0,56085.4,1,3,3,6,420141.0,55.760155,49.234271,222714
fd27c954-a59e-4116-b508-07cb8bafe8b2,55,2,8,2,1409,2017.0,2017.0,11.0,6215.795935044526,1,3,2,6,420061.0,55.796015,49.181881,223361
95fd552a-c99a-40d4-be92-5a79d8759c5c,99,3,13,0,1665,2021.0,2021.0,22.0,6215.795935044526,1,4,2,4,421001.0,55.81871,49.146461,227043
cf7fcce4-127f-4136-b7b1-8251f57650a3,82,3,4,1,1787,2007.0,2008.0,11.0,13097.1,1,3,2,4,420126.0,55.816298,49.135088,226994
f42dbf65-0e8d-41c6-a284-a8a5836364f3,49,2,7,2,1910,2015.0,2015.0,20.0,7555.32,1,4,2,6,420061.0,55.795767,49.207753,214724
8b2a33a3-0c62-488c-97bc-78fbb391fb62,41,1,13,2,1817,2009.0,2009.0,17.0,7696.1,1,3,2,5,420138.0,55.737481,49.202624,207317
1b5c7039-ae0e-46c4-a1b1-42d34921bb91,38,1,2,1,1639,2018.0,2018.0,9.0,6215.795935044526,1,3,1,2,420102.0,55.822407,49.0727,232804
277d6041-25b5-4ca3-a6aa-d30739349586,32,1,3,3,1579,2020.0,2021.0,22.0,6215.795935044526,1,2,2,6,420061.0,55.804319,49.175108,227812
e61ee4ff-374e-4a61-8af9-7a6ea186f108,68,2,12,0,1852,2021.0,2021.0,25.0,6215.795935044526,1,2,2,6,420087.0,55.767565,49.174336,205882
c7fe7653-124e-4cc0-b5a6-ba1f941f3b44,47,2,15,1,1730,2019.0,2019.0,20.0,38411.5,2,2,2,6,420081.0,55.784501,49.193946,230193
01f49bcf-27ab-4be7-ab0b-57a6f57384cf,55,2,7,3,1546,2021.0,2021.0,10.0,6215.795935044526,1,3,1,6,420088.0,55.802538,49.203818,204340
57ffd12c-1275-4222-b728-6dd48bcf19bb,35,1,3,1,1910,2017.0,2017.0,11.0,6215.795935044526,1,3,2,6,420125.0,55.79265,49.25442,208215
6ad98b16-d19a-4e5d-b277-8ccaeedab2ed,50,2,2,2,1762,2001.0,2002.0,9.0,9512.9,1,3,3,4,420103.0,55.823889,49.12739,225743
9e878e2a-9758-4419-a9c1-2dc2f267ff85,33,1,6,1,1609,2019.0,2019.0,10.0,6215.795935044526,1,3,2,6,420125.0,55.793966,49.25319,208459
7a648c19-87be-4390-b9aa-d23c96a9024e,63,2,7,2,1546,2015.0,2016.0,20.0,17267.4,2,3,1,4,420126.0,55.815094,49.136355,214049
2fa24e2e-cab4-42c1-8c13-495c6d83c176,51,1,10,1,1911,2017.0,2017.0,16.0,6215.795935044526,1,3,2,6,420140.0,55.767003,49.238341,209020
60583255-0931-424e-b676-59b340a80571,93,3,4,1,1631,2012.0,2012.0,5.0,6215.795935044526,1,7,1,1,420019.0,55.766268,49.110295,220430
b81c5346-88d2-43ed-a68a-b050ed698099,68,2,3,1,1729,2006.0,2006.0,9.0,12409.9,1,2,3,4,420126.0,55.818756,49.134612,229630
a0c0e8da-d278-4f3b-a9b3-745d979d31c3,62,2,3,1,1853,2007.0,2007.0,9.0,4942.77,1,3,1,0,420036.0,55.852581,49.077919,205645
f1628f5b-2be3-4f7a-a7a9-37d3ea7ff205,33,1,4,1,1904,1967.0,1967.0,5.0,4210.05,0,2,3,1,420107.0,55.771069,49.134927,209091
24549de8-341e-4ad0-993b-a82457ca7c0a,121,4,8,2,1731,1980.0,1980.0,9.0,4741.47,0,2,3,1,420012.0,55.786409,49.134971,222956
5394b91e-bb08-4a34-8f64-d45eeafa2c14,70,3,17,1,1547,2022.0,2022.0,19.0,6215.795935044526,1,2,2,6,420089.0,55.779221,49.193991,225000
2f673e88-3a59-4ecb-8ee9-237402878b6c,30,1,7,1,1817,2015.0,2015.0,10.0,6215.795935044526,1,2,1,5,420011.0,55.722472,49.170509,208333
1386b060-6111-4348-9742-f7dc9f49cec9,33,1,2,2,1875,1979.0,1979.0,9.0,14693.2,1,2,3,4,420126.0,55.828491,49.138942,212121
fbb60bc5-5e69-4046-987f-c16c53876d4f,95,3,12,1,1672,2014.0,2014.0,19.0,42026.2,1,3,2,5,420010.0,55.733411,49.179258,216702
1fca6a2d-10c5-4f89-a966-808683db09a3,49,2,7,1,1904,2015.0,2015.0,20.0,7555.32,1,4,2,6,420061.0,55.795767,49.207753,224949
a27bb477-f13d-43a4-b88d-620150b703dd,63,3,3,2,1876,1981.0,1981.0,9.0,14498.38,1,3,3,1,420021.0,55.780426,49.113924,230159
7a8ef35d-4803-4bef-8834-21d42fea8771,13,1,7,3,1374,1983.0,1983.0,9.0,6215.795935044526,1,3,1,4,420136.0,55.8366,49.126195,212214
794b40d1-6b2b-4d02-b392-28398afedb45,38,1,1,1,1666,2020.0,2020.0,25.0,6215.795935044526,1,3,2,6,420104.0,55.763868,49.191107,226316
4485000e-9088-4315-b4bc-7d4bd5472f6e,33,1,6,1,1789,2021.0,2021.0,8.0,22944.6,1,3,1,0,420036.0,55.85176545,49.0621238856684,209970
cf741d6a-b45b-448a-895a-5746e647a82c,41,1,16,2,1700,1998.0,1998.0,9.0,6215.795935044526,1,3,3,6,420087.0,55.773849,49.206657,231707
18b624b8-03ab-4866-be6a-f473a81b9ffc,38,1,5,2,1434,2018.0,2018.0,9.0,6215.795935044526,1,3,1,2,420102.0,55.822407,49.0727,213067
3e3b5c85-63f0-4589-aa72-5759d539fe1f,76,2,5,0,1546,2017.0,2017.0,25.0,6215.795935044526,1,3,2,2,420021.0,55.81083,49.096568,215969
b8621e1d-6fbe-423d-8721-e99a70e7fa6a,43,2,6,3,1373,1939.0,1939.0,6.0,4653.24,0,3,3,1,420021.0,55.781772,49.115388,216047
f8b27d11-0517-4ade-b807-332a4f7fe600,78,3,2,1,1883,2014.0,2014.0,4.0,6215.795935044526,1,3,1,1,420012.0,55.78477875,49.137229,230769
e302bd7c-8095-48db-b616-96bcd3628a46,33,1,1,0,1731,2019.0,2020.0,6.0,6215.795935044526,1,4,1,5,420064.0,55.681554,49.193847,220000
d2022b6a-8a5a-49bc-92f2-5c83ee253dfa,30,1,13,1,1729,2019.0,2019.0,20.0,15050.1,1,3,2,6,420125.0,55.793442,49.2481872,210438
274dbc33-9e96-4b5b-ae65-b144578f7641,31,1,2,2,1731,1966.0,1966.0,5.0,6215.795935044526,1,3,1,1,420021.0,55.780532,49.104779,219551
ef09f10c-9039-4402-83ce-d8991218306c,48,1,9,0,1911,1998.0,1998.0,9.0,6215.795935044526,1,3,3,2,420087.0,55.823692,49.050629,206954
b4457bb5-5072-4caa-b5d3-8860bb6f40cf,91,3,4,1,1547,2007.0,2007.0,9.0,11061.3,1,3,2,4,421001.0,55.818675,49.139625,205495
eefb057f-4373-4fe3-9e1c-609acc96403d,37,1,7,1,1546,2001.0,2001.0,10.0,14573.98,1,7,3,4,420066.0,55.821699,49.111328,225806
249da134-0001-489f-acb2-4ddb52273e2d,39,2,5,0,1547,2022.0,2022.0,19.0,6215.795935044526,4,6,2,4,420103.0,55.8213,49.126141,232234
5f3b8ee8-c740-491e-bea4-baa83aaee8ef,37,1,7,1,1609,2001.0,2001.0,10.0,14573.98,1,7,3,4,420066.0,55.821699,49.111328,214785
ce54cf12-d775-4063-8110-c4816875a1fe,18,1,4,2,1789,1969.0,1969.0,5.0,8085.5,1,3,2,6,420045.0,55.786202,49.166332,205556
1586db9d-192f-4e62-ad24-25b0a9bf1622,36,1,13,1,1731,2022.0,2022.0,18.0,6215.795935044526,1,4,2,6,420087.0,55.76604,49.176321,230528
48d002a6-502e-4827-9e31-e71590f1bebc,11,1,1,1,1887,1997.0,1997.0,10.0,8871.1,0,2,3,4,420124.0,55.82578,49.115164,219298
0f2c7cc7-21e4-4ce2-93a4-eda31afe1a4d,31,1,8,1,1535,1974.0,1974.0,9.0,18077.5,1,3,3,6,420087.0,55.762606,49.178513,206452
d77779ed-c420-4a58-9424-a638040e1b76,22,1,9,2,1679,1975.0,1975.0,9.0,3852.0,0,2,2,1,420108.0,55.770755,49.09532,211521
53407758-5eb4-4326-bf86-8a1424d0ed88,12,1,4,1,1910,1973.0,1973.0,5.0,6215.795935044526,0,2,3,5,420104.0,55.754269,49.194422,224000
519dc7c0-b75e-4898-b6cc-6b7b972d4c12,36,1,2,2,1404,2022.0,2022.0,11.0,6614.261554987377,1,4,2,6,420100.0,55.784749,49.215802,233196
d72d1049-f2f1-4295-a7b8-633d06ea3848,48,2,15,1,1680,2019.0,2019.0,20.0,38411.5,2,2,2,6,420081.0,55.784501,49.193946,227083
1a41db91-1001-4ce2-a0e6-148d40a35a18,70,2,7,3,1517,2014.0,2014.0,21.0,16066.8,1,2,2,6,420045.0,55.791521,49.169907,214286
8deb37e7-da8b-4537-9ca1-69a39052ac30,53,2,9,1,1579,2015.0,2015.0,12.0,6215.795935044526,1,3,1,6,420087.0,55.76599,49.18746,205993
4decb131-f384-4d04-b409-9f852d69dc20,28,1,4,0,1789,2023.0,2023.0,10.0,6215.795935044526,1,3,1,5,420014.0,55.796127,49.106414,221255
61e3dbf5-e67b-4589-ab74-0bb3d176e05e,16,1,1,1,1911,2021.0,2021.0,9.0,6215.795935044526,1,3,1,6,420088.0,55.80059,49.202156,215625
9cc9081f-2b8d-4ead-a1c9-85e04ec58407,40,1,10,1,1373,2016.0,2016.0,20.0,6215.795935044526,1,4,1,5,420087.0,55.765306,49.144637,207595
ee1dd9f7-9a79-4330-b356-b27e75143eb7,35,1,3,1,1401,1960.0,1960.0,5.0,3111.7,2,2,3,5,420087.0,55.766592,49.148123,205202
2e2f4782-1547-4d35-82a7-1d996621e317,31,1,1,0,1731,2023.0,2023.0,10.0,6215.795935044526,1,3,1,5,420054.0,55.738708,49.150261,218121
e08a512f-2dc9-42e7-a5bd-313dd9cd2329,27,1,4,1,1731,1998.0,1998.0,9.0,8279.8,1,3,3,6,420088.0,55.813344,49.19674,214286
53308bd1-d729-4217-8e80-e6ad33656a20,38,1,8,1,1789,2014.0,2014.0,9.0,2190.2,1,3,2,6,420073.0,55.779975,49.170185,217333
dfc2d161-c2c3-4ea1-818c-1cb6996b686a,27,1,5,2,1700,1998.0,1998.0,10.0,8891.7,1,3,3,6,420073.0,55.784896,49.178989,225889
33ea5881-dc20-46a1-b30d-b135e8f0c0ee,82,3,12,1,1608,2009.0,2009.0,25.0,38333.7,1,4,3,4,421001.0,55.815585,49.141224,232230
2fadf493-9578-418f-b63a-06b69339c5d4,38,1,10,1,1496,1970.0,1970.0,24.0,6215.795935044526,1,3,1,6,420061.0,55.795089,49.205301,217079
07623bdf-7174-4d26-a7b4-a79c4cba8af6,37,1,4,0,1608,2022.0,2022.0,10.0,6215.795935044526,1,4,2,6,420100.0,55.785913,49.216574,221284
ed8371d8-f385-421e-ba3a-34c58768fc8e,57,2,17,0,1702,2021.0,2022.0,22.0,6215.795935044526,1,3,2,6,420061.0,55.804516,49.174192,229000
c2d9c5d0-899a-4f0d-b7a1-a60e02a8cabe,62,2,6,2,1911,2019.0,2019.0,10.0,6215.795935044526,1,3,2,6,420088.0,55.805877,49.194296,222581
07fc7fec-9207-4198-9def-8eec97f2109c,29,1,2,1,1406,2018.0,2019.0,24.0,6215.795935044526,1,4,2,6,420087.0,55.767686,49.173249,223368
e336b56c-3512-4e71-bea6-479a87839023,61,2,10,2,1498,2012.0,2012.0,18.0,11381.8,0,2,2,4,421001.0,55.824759,49.154573,211475
828ba6c3-c908-420e-8fcd-b2aad5f5ffda,62,2,12,1,1817,2015.0,2015.0,18.0,10461.4,2,2,3,6,420073.0,55.783013,49.19462,223998
b819e9c7-7420-4bc3-b955-c4f4260bec19,82,3,9,1,1547,2021.0,2021.0,18.0,48549.5,1,3,2,1,420097.0,55.7883654,49.15232569974252,222699
6d4d23f5-140a-4dff-9b2e-e8e1f803a21a,30,1,17,1,1790,2022.0,2022.0,17.0,6215.795935044526,1,7,2,6,420083.0,55.799623,49.241745,233333
30667dfc-fcd6-4965-9bed-5555ff0bba63,57,2,18,1,1910,2016.0,2016.0,20.0,10070.4,1,4,2,6,420061.0,55.795368,49.206334,212014
737e4b82-633e-4cf6-9a87-4fc4e648c395,30,1,7,2,1790,2020.0,2020.0,20.0,6215.795935044526,1,3,2,6,420083.0,55.796461,49.250216,211409
2999ef57-12ec-4089-9892-487ae8891937,32,1,7,1,1731,1983.0,1983.0,9.0,8013.49,1,3,3,1,420043.0,55.77874,49.14771,226563
56d4b7bd-90b5-441e-8fdc-5155e79f939b,72,2,5,1,1579,2006.0,2006.0,6.0,6148.4,0,2,3,1,420043.0,55.787169,49.141682,221286
ed0d62fc-1be3-4df2-8b11-6706f4eafa62,36,1,6,1,1402,2016.0,2016.0,11.0,6215.795935044526,1,3,1,6,420081.0,55.794988,49.179375,233516
bc022390-745e-4324-a11a-e21d0d33c771,102,3,1,1,1853,2011.0,2012.0,6.0,8713.6,0,2,2,4,420124.0,55.816187,49.106773,213307
e061ad85-199f-4dee-b280-b2c5e99faecf,49,1,5,1,1373,2015.0,2015.0,11.0,43855.5,1,3,2,5,420087.0,55.767398,49.150961,222449
64150a82-04ff-49e0-8866-85d58fe7ddcf,32,1,6,2,1536,1967.0,1967.0,9.0,2235.4,1,3,3,1,420021.0,55.777317,49.109684,206250
d5d38ab3-345e-43df-a160-c036104282cc,32,1,1,2,1817,2000.0,2000.0,10.0,8821.7,1,7,3,4,420124.0,55.820991,49.114068,206790
