uuid,Короткий Адрес,Площадь,Кол-во Комнат,Этаж Квартиры,Ремонт,Экспозиция
fbcbf018-6863-4cf8-b521-e6743d9e3b28,"Четаева, 10",50,2,8,Евроремонт,1631
a2aeff82-8597-4fd1-9adc-5b61e7ef731a,"Тулпар, 5",30,1,4,Косметический,1850
356f855a-ff67-4b07-bb6b-f3d66ad3d464,"Волкова, 79",53,3,5,Косметический,1836
3758eab9-d25b-4e9b-b7ca-2c6a43d1270f,"Горсоветская, 34",53,2,1,Евроремонт,1667
2ef9afd5-39ca-4fa9-91b7-5198c2009078,"Абсалямова, 32",36,1,2,Евроремонт,1499
d908177b-b803-4d6c-a8cf-38ede45b3ef1,"Четаева, 43",32,1,3,Нет информации,1688
e299b4d7-97e8-4c7b-8a59-9b8a92832874,"Побежимова, 46",17,1,1,Евроремонт,1910
c377622e-3e92-49e4-8764-1d003c0ed3b5,"Хакима, 51",62,2,4,Косметический,1608
9b104c57-7c1d-4a98-a026-aadb8701e0a8,"Чистопольская, 85А",50,1,2,Косметический,1911
f3a88f21-3c90-4bf9-8d73-f7f2e9ff7d19,"Терегулова, 8",61,3,2,Евроремонт,1911
aeaa7d5c-f0fb-408d-9390-8fe8f27c2254,"Адоратского, 6",50,2,5,Евроремонт,1769
d347c27b-2ecd-47b2-8845-c278a492e06a,"Хакима, 46",65,2,19,Евроремонт,1609
48c93e95-0e1d-4c9f-8138-c6d4d91a0516,"Оренбургский, 24Б",48,2,6,Евроремонт,1790
fe3493af-8ddb-491b-a016-f5080d87c820,"Ямашева, 30",32,1,9,Косметический,1675
8ee2c5ca-eb88-4b6e-8fc6-921ff759c32a,"Чистопольская, 61",33,1,9,Косметический,1731
4e88acfe-5e1d-4ee3-bcb9-f2493687a0b0,"Четаева, 36",33,1,2,Косметический,1911
b306cbed-2c33-47fa-966b-3b8fa775182c,"Павлюхина, 110А",12,1,5,Евроремонт,1761
2fbf9fb7-5d42-4a38-a686-308de66cccef,"Гоголя, 16/56",24,1,2,Без отделки,1761
9ac8441d-1af7-4f83-9535-3f412e54ded6,"Фучика, 82",34,1,10,Евроремонт,1911
fd27c954-a59e-4116-b508-07cb8bafe8b2,"Ершова, 62Д К2",55,2,8,Косметический,1409
95fd552a-c99a-40d4-be92-5a79d8759c5c,"Чистопольская, 88",99,3,13,Без отделки,1665
cf7fcce4-127f-4136-b7b1-8251f57650a3,"Чистопольская, 66",82,3,4,Евроремонт,1787
f42dbf65-0e8d-41c6-a284-a8a5836364f3,"Космонавтов, 61Г",49,2,7,Косметический,1910
8b2a33a3-0c62-488c-97bc-78fbb391fb62,"Дубравная, 36",41,1,13,Косметический,1817
1b5c7039-ae0e-46c4-a1b1-42d34921bb91,"Пилотская, 37",38,1,2,Евроремонт,1639
277d6041-25b5-4ca3-a6aa-d30739349586,"Б.Галеева, 8А К3",32,1,3,Нет информации,1579
e61ee4ff-374e-4a61-8af9-7a6ea186f108,"Аметьевская магистраль, 18 К5",68,2,12,Без отделки,1852
c7fe7653-124e-4cc0-b5a6-ba1f941f3b44,"Камалеева, 32",47,2,15,Евроремонт,1730
01f49bcf-27ab-4be7-ab0b-57a6f57384cf,"Урам, 1 К К4",55,2,7,Нет информации,1546
57ffd12c-1275-4222-b728-6dd48bcf19bb,"Табеева, 5",35,1,3,Евроремонт,1910
6ad98b16-d19a-4e5d-b277-8ccaeedab2ed,"Четаева, 27А",50,2,2,Косметический,1762
9e878e2a-9758-4419-a9c1-2dc2f267ff85,"Табеева, 3",33,1,6,Евроремонт,1609
7a648c19-87be-4390-b9aa-d23c96a9024e,"Козина, 3Б",63,2,7,Косметический,1546
2fa24e2e-cab4-42c1-8c13-495c6d83c176,"Айтматова, 13",51,1,10,Евроремонт,1911
60583255-0931-424e-b676-59b340a80571,"Камала, 18",93,3,4,Евроремонт,1631
b81c5346-88d2-43ed-a68a-b050ed698099,"Чистопольская, 60",68,2,3,Евроремонт,1729
a0c0e8da-d278-4f3b-a9b3-745d979d31c3,"Лядова, 9А",62,2,3,Евроремонт,1853
f1628f5b-2be3-4f7a-a7a9-37d3ea7ff205,"Назарбаева, 66",33,1,4,Евроремонт,1904
24549de8-341e-4ad0-993b-a82457ca7c0a,"Маяковского, 1/49",121,4,8,Косметический,1731
5394b91e-bb08-4a34-8f64-d45eeafa2c14,"Кутуя, 110Е",70,3,17,Евроремонт,1547
2f673e88-3a59-4ecb-8ee9-237402878b6c,"Р.Гареева, 94",30,1,7,Евроремонт,1817
1386b060-6111-4348-9742-f7dc9f49cec9,"Ямашева, 74",33,1,2,Косметический,1875
fbb60bc5-5e69-4046-987f-c16c53876d4f,"Урманче, 1",95,3,12,Евроремонт,1672
1fca6a2d-10c5-4f89-a966-808683db09a3,"Космонавтов, 61Г",49,2,7,Евроремонт,1904
a27bb477-f13d-43a4-b88d-620150b703dd,"Татарстан, 7",63,3,3,Косметический,1876
7a8ef35d-4803-4bef-8834-21d42fea8771,"Чуйкова, 27",13,1,7,Нет информации,1374
794b40d1-6b2b-4d02-b392-28398afedb45,"Родины, 26Г",38,1,1,Евроремонт,1666
4485000e-9088-4315-b4bc-7d4bd5472f6e,"Тэцевская, 4Е",33,1,6,Евроремонт,1789
cf741d6a-b45b-448a-895a-5746e647a82c,"Яратам Жилой Комплекс, К5",41,1,16,Косметический,1700
18b624b8-03ab-4866-be6a-f473a81b9ffc,"Пилотская, 37",38,1,5,Косметический,1434
3e3b5c85-63f0-4589-aa72-5759d539fe1f,"Комсомольская, 1",76,2,5,Без отделки,1546
b8621e1d-6fbe-423d-8721-e99a70e7fa6a,"Татарстан, 3/2",43,2,6,Нет информации,1373
f8b27d11-0517-4ade-b807-332a4f7fe600,"Низенькая, 7",78,3,2,Евроремонт,1883
e302bd7c-8095-48db-b616-96bcd3628a46,"Ерина, 3",33,1,1,Без отделки,1731
d2022b6a-8a5a-49bc-92f2-5c83ee253dfa,"Аббасова, 5",30,1,13,Евроремонт,1729
274dbc33-9e96-4b5b-ae65-b144578f7641,"Камала, 47",31,1,2,Косметический,1731
ef09f10c-9039-4402-83ce-d8991218306c,"Луговая, 52",48,1,9,Без отделки,1911
b4457bb5-5072-4caa-b5d3-8860bb6f40cf,"Чистопольская, 82",91,3,4,Евроремонт,1547
eefb057f-4373-4fe3-9e1c-609acc96403d,"Абсалямова, 28",37,1,7,Евроремонт,1546
249da134-0001-489f-acb2-4ddb52273e2d,"Бичурина, 13",39,2,5,Без отделки,1547
5f3b8ee8-c740-491e-bea4-baa83aaee8ef,"Абсалямова, 28",37,1,7,Евроремонт,1609
ce54cf12-d775-4063-8110-c4816875a1fe,"Кутуя, 8",18,1,4,Косметический,1789
1586db9d-192f-4e62-ad24-25b0a9bf1622,"Габишева, 18А",36,1,13,Евроремонт,1731
48d002a6-502e-4827-9e31-e71590f1bebc,"Меридианная, 19",11,1,1,Евроремонт,1887
0f2c7cc7-21e4-4ce2-93a4-eda31afe1a4d,"Карбышева, 13",31,1,8,Евроремонт,1535
d77779ed-c420-4a58-9424-a638040e1b76,"Портовая, 21",22,1,9,Косметический,1679
53407758-5eb4-4326-bf86-8a1424d0ed88,"Зорге, 32 К2",12,1,4,Евроремонт,1910
519dc7c0-b75e-4898-b6cc-6b7b972d4c12,"Полушкина, 4",36,1,2,Косметический,1404
d72d1049-f2f1-4295-a7b8-633d06ea3848,"Камалеева, 32",48,2,15,Евроремонт,1680
1a41db91-1001-4ce2-a0e6-148d40a35a18,"Гастелло, 7",70,2,7,Нет информации,1517
8deb37e7-da8b-4537-9ca1-69a39052ac30,"Даурская, 44Г",53,2,9,Евроремонт,1579
4decb131-f384-4d04-b409-9f852d69dc20,"Р.Гареева, 78А",28,1,4,Без отделки,1789
61e3dbf5-e67b-4589-ab74-0bb3d176e05e,"Урам, 1 К К3",16,1,1,Евроремонт,1911
9cc9081f-2b8d-4ead-a1c9-85e04ec58407,"Павлюхина, 128",40,1,10,Евроремонт,1373
ee1dd9f7-9a79-4330-b356-b27e75143eb7,"Павлюхина, 97",35,1,3,Евроремонт,1401
2e2f4782-1547-4d35-82a7-1d996621e317,"Ярдем, 25",31,1,1,Без отделки,1731
e08a512f-2dc9-42e7-a5bd-313dd9cd2329,"Ново-Азинская, 12",27,1,4,Евроремонт,1731
53308bd1-d729-4217-8e80-e6ad33656a20,"Толбухина, 15",38,1,8,Евроремонт,1789
dfc2d161-c2c3-4ea1-818c-1cb6996b686a,"Кутуя, 54",27,1,5,Косметический,1700
33ea5881-dc20-46a1-b30d-b135e8f0c0ee,"Хакима, 60",82,3,12,Евроремонт,1608
2fadf493-9578-418f-b63a-06b69339c5d4,"Космонавтов, 61Е",38,1,10,Евроремонт,1496
07623bdf-7174-4d26-a7b4-a79c4cba8af6,"Полушкина, 6",37,1,4,Без отделки,1608
ed8371d8-f385-421e-ba3a-34c58768fc8e,"Б.Галеева, 8А К4",57,2,17,Без отделки,1702
c2d9c5d0-899a-4f0d-b7a1-a60e02a8cabe,"Губкина, 18Б",62,2,6,Косметический,1911
07fc7fec-9207-4198-9def-8eec97f2109c,"Аметьевская магистраль, 16 К3",29,1,2,Евроремонт,1406
e336b56c-3512-4e71-bea6-479a87839023,"Ямашева, 103А",61,2,10,Косметический,1498
828ba6c3-c908-420e-8fcd-b2aad5f5ffda,"Камалеева, 34Б",62,2,12,Евроремонт,1817
b819e9c7-7420-4bc3-b955-c4f4260bec19,"Достоевского, 57",82,3,9,Евроремонт,1547
6d4d23f5-140a-4dff-9b2e-e8e1f803a21a,"Курынова, 4 К4",30,1,17,Евроремонт,1790
30667dfc-fcd6-4965-9bed-5555ff0bba63,"Космонавтов, 61Б",57,2,18,Евроремонт,1910
737e4b82-633e-4cf6-9a87-4fc4e648c395,"Удивительная, 9",30,1,7,Косметический,1790
2999ef57-12ec-4089-9892-487ae8891937,"Бойничная, 8",32,1,7,Евроремонт,1731
56d4b7bd-90b5-441e-8fdc-5155e79f939b,"Лесгафта, 3",72,2,5,Евроремонт,1579
ed0d62fc-1be3-4df2-8b11-6706f4eafa62,"Ершова, 62Г",36,1,6,Евроремонт,1402
bc022390-745e-4324-a11a-e21d0d33c771,"Хакима, 5",102,3,1,Евроремонт,1853
e061ad85-199f-4dee-b280-b2c5e99faecf,"Павлюхина, 99Б",49,1,5,Евроремонт,1373
64150a82-04ff-49e0-8866-85d58fe7ddcf,"Татарстан, 45",32,1,6,Косметический,1536
d5d38ab3-345e-43df-a160-c036104282cc,"Чистопольская, 17",32,1,1,Косметический,1817
5abb15da-558b-4212-bc54-dd13110494db,"Бирюзовая, 1",29,1,17,Евроремонт,1910
623e4c1f-c07c-45aa-978d-5cfd1e99a6e0,"Абжалилова, 1/82",18,1,3,Евроремонт,1902
1a9833bc-c53c-4079-847e-f90907d2dbbb,"Родины, 24Б",48,2,12,Евроремонт,1434
0cd14ce0-870b-4889-b0c0-038392309ca9,"Четаева, 43",57,2,4,Без отделки,1480
4c9fc196-e040-4291-9ffd-e495c81ab0d7,"Достоевского, 76",41,1,1,Евроремонт,1911
9d06818b-1179-4331-8e11-a23751025426,"Хакима, 15",107,3,2,Косметический,1911
cda4e8ea-a391-4313-941b-d27b24be7b18,"Р.Гареева, 90 К1",34,1,3,Евроремонт,1678
c502d1d4-26ac-49d0-a826-c42ec2851ee3,"Тазетдинова, 1",42,1,2,Косметический,1402
a07f0dac-2eb5-4281-805f-5b7516473061,"Даурская, 20",32,1,7,Евроремонт,1912
6acd5fcd-b3da-4d36-9875-8fb11492aede,"Космонавтов, 61Е",38,1,10,Нет информации,1499
fce01557-1405-4304-acf7-22211aca2f6f,"Кутуя, 86",31,1,8,Нет информации,1434
526891f4-3106-40e2-9cff-7f1318774086,"Кутуя, 110",51,2,4,Нет информации,1517
8e3f1e68-e240-4fc5-89bb-5dc8af66c2ef,"Тимирязева, 10",17,1,2,Евроремонт,1407
a825f1d4-b5d4-4db1-b74e-d1f1dd904332,"Пушкина, 3",88,3,4,Косметический,1911
bb121170-9d99-4698-9852-666b76e367eb,"Айтматова, 7",37,1,11,Косметический,1911
61798c94-6ae7-4941-8bda-04ee0e8ac71d,"Краснококшайская, 84А",34,1,2,Евроремонт,1759
f56165e1-844f-449c-ae18-d1e12cb28ed2,"Ачинская, 30",34,1,4,Без отделки,1372
9ec9e098-9f11-48be-b10e-fb7f3af1a8a0,"Маяковского, 19",65,2,9,Евроремонт,1380
95e4c035-211c-4515-a357-b4dd91328991,"Чистопольская, 25",65,3,9,Евроремонт,1676
bcf30dc1-fe81-46b4-a936-130cebe4e7d9,"Симонова, 11",38,1,3,Без отделки,1731
f9cac756-a28e-4dca-9a38-bf5bf9696d10,"Глушко, 5",26,1,2,Косметический,1678
dc5e7410-31c0-4ad5-bc3d-7a0102643cd3,"Р.Гареева, 96",32,1,5,Евроремонт,1578
7d7ce0ea-c956-42d6-963c-8921105b24a4,"Чистопольская, 10/8",71,2,1,Евроремонт,1883
e180c136-afb3-40c0-b965-0d2171a4e33f,"Ибрагимова, 61",30,1,2,Евроремонт,1785
71bf4ef5-3534-4d33-951e-e9de53f20eae,"Октябрьская, 12",12,1,2,Евроремонт,1910
14009f3e-142e-4f04-bd2a-26eae37ff8b5,"Побежимова, 36",32,1,3,Косметический,1496
aecc91ba-bab4-4508-a7ca-6dee1deb6231,"Козина, 2",43,2,9,Без отделки,1497
174f7eec-27f9-45fa-bd0b-4ff891c6fefa,"Товарищеская, 34",74,2,6,Евроремонт,1911
8996da05-d65d-499a-875f-0f4600bf758d,"Касимовых, 21",57,2,6,Косметический,1911
af1fd892-b88b-41e4-b3dd-f7680ddf42de,"Хасанова, 13",37,1,4,Без отделки,1546
566f713a-a095-4d01-b276-bdbf2b95acaa,"Кутуя, 110Е",68,2,11,Без отделки,1731
e0235e62-7ed5-47e6-bd77-356a6d29dff0,"Приволжская, 210",36,1,4,Без отделки,1608
fe6bc0c1-a31b-400f-a512-fdab7d0728eb,"Чистопольская, 71А",40,1,9,Косметический,1910
b70fbab7-799d-4b4c-9542-34b5ae31a889,"Победы, 124",31,1,2,Косметический,1682
6c4e8a27-8add-4352-b1b0-d23f09bfbbfd,"Приволжская, 210",39,1,6,Без отделки,1882
39505529-264f-474f-807a-c975683feff5,"Дубравная, 2Д",36,1,10,Косметический,1547
c7f1ea9a-df22-4ca0-b732-0e7c17c0904a,"Хайруллина, 3",34,1,8,Косметический,1675
15b86952-0057-4b80-9b72-25ef872d8538,"Курынова, 6 К2",31,1,7,Косметический,1883
52bde959-f6d9-4c8e-96d7-393bfe295977,"Нокса Парк Жк, 3",40,3,2,Косметический,1732
b04d2051-22d6-4f71-b5c9-d8fc94921587,"Бухарская, 5",41,1,2,Без отделки,1612
ff1dd91c-95dc-4e8b-a9be-8e4c9a1cc54d,"Четаева, 47",33,1,6,Евроремонт,1519
8cd51f44-0446-41b9-aa6b-956712829bf8,"Глушко, 23",32,1,1,Без отделки,1679
57738e51-1e01-482b-b8df-2d343289b000,"Тимирязева, 10",14,1,2,Евроремонт,1434
074615ad-d468-48a5-9142-3ee86757c75e,"Пилотская, 37",36,1,8,Евроремонт,1396
77ded8cf-d2e2-4621-85e3-01cb5b676b3d,"Ямашева, 35А",73,3,10,Косметический,1687
caed990d-936d-43ef-9ecf-72189f3dfe73,"Тазетдинова, 4",44,2,6,Евроремонт,1817
d4e9c5af-5eb8-4c70-bc79-d7d68fb552d9,"Халитова, 2",36,1,12,Без отделки,1610
d4f17350-04cd-4def-bc7f-ccd5f224b07a,"Горсоветская, 25",53,2,7,Евроремонт,1911
d9d17d7f-68cf-4aad-9e7c-99e0fd0c22ce,"Чистопольская, 14",51,2,10,Косметический,1434
02ea6f80-4386-4424-bde9-530154b96543,"Урам, 1 К К3",40,1,2,Евроремонт,1761
e297a047-b949-4bd5-aadd-06862b4bec35,"Р.Гареева, 107",32,1,5,Косметический,1881
457521b2-7c86-48b3-a949-24f28dbdd7c7,"Ершова, 62Г",37,1,3,Евроремонт,1372
472c9b36-bf26-44fc-924e-02cc7106d1d6,"Аббасова, 23",34,1,3,Косметический,1883
29ae2094-8d0c-4211-9669-d0165e09ce91,"Камалеева, 32Б",63,2,17,Нет информации,1372
53800e82-318f-4f0a-b838-889fb4dfd141,"Назарбаева, 70",32,1,3,Косметический,1731
900fdbf1-6915-43f9-841d-86771da50419,"Гайнутдинова, 26 К3",32,1,1,Без отделки,1609
5fc057c6-c493-4016-b0f0-ece2d114aff7,"Абсалямова, 30",38,1,8,Косметический,1580
3ce8910b-5c5d-4fce-9e66-a1bb5905176b,"Б.Галеева, 8А К3",34,1,4,Евроремонт,1609
5691e083-58ee-4c62-a4dc-2890f76d1f89,"Дежнева, 4 К2",18,1,3,Косметический,1535
32e90315-0cd5-4203-a857-a58ed20b499a,"Восстания, 25",10,1,5,Нет информации,1609
9a2f8d23-30fd-41e1-828c-fd51c80807b0,"Красная, 1Б",54,3,1,Евроремонт,1535
f6759030-9e5a-4ac3-a083-785a344a80d5,"Портовая, 21",12,1,3,Евроремонт,1479
d479c582-9e2f-44b6-baf9-7c6dee8dd329,"Шуртыгина, 24",19,1,4,Косметический,1534
0e1ed3be-b2d1-4e02-b48d-3bfe9c95c83a,"Проезд Яраткан, 4В",46,2,14,Без отделки,1731
563e7179-6a27-4bcf-a25a-b86affefe3b9,"Родины, 26Е",35,1,20,Евроремонт,1480
d4cbf62e-ca65-486e-8444-3b8822b9aae0,"Адоратского, 4",39,1,5,Косметический,1372
c3639e40-4f30-4c98-b31d-1f5cbc905310,"Гвардейская, 34Б",26,1,9,Нет информации,1373
8c8543e6-9ddb-4645-bdd4-ef9215bbe245,"Чистопольская, 61Д",60,2,7,Евроремонт,1631
45535acb-026f-4de6-9179-548dbfbc8f02,"Гагарина, 63А",39,1,6,Без отделки,1561
630860da-9597-4db4-99e5-a577554501b1,"2-я Юго-Западная, 39",31,1,23,Косметический,1714
64f9d7d4-cc4a-42ad-8814-50b25e5fcfe7,"Урам, 1 К К4",36,1,2,Евроремонт,1498
0dbb1f72-bd5f-41db-aba7-30226eb33ac4,"Стадионная, 1",34,1,10,Евроремонт,1433
56d130be-7b6d-4a42-a8fa-dc92014dbb7e,"Ярышлар, 4",24,1,2,Евроремонт,1579
e51196cc-f0ca-444a-ae9b-4568ed5a28c5,"Айтматова, 9",39,1,7,Евроремонт,1793
827692c8-cce4-4976-94bf-6fffe34e1d9d,"Чистопольская, 16/15",98,3,10,Евроремонт,1608
bf4df50f-690f-44b3-993a-0517224770d7,"Ботаническая, 20",14,1,2,Евроремонт,1911
bec03a77-d14a-4b91-b6b2-c8185d72e240,"Удивительная, 9",30,1,4,Евроремонт,1911
e75efec1-94ec-42e6-81e2-69524c2d038f,"Даурская, 48А",50,2,9,Евроремонт,1480
a2e7be53-eb9d-4a07-9884-f73ce01c564a,"Адоратского, 4А",40,1,16,Евроремонт,1840
af8f6722-8482-4447-9b88-0d2e1d88e0d1,"Вишневского, 61",30,1,4,Без отделки,1713
6d16fa11-3afe-4e2c-b031-9ed97067bedc,"Чистопольская, 20/12",127,3,4,Евроремонт,1547
e7b274d9-c2a2-45c1-9651-ac406a22bcf9,"Гафури, 9 К1",35,1,9,Евроремонт,1498
bc2c1cb2-b64c-4753-9cb6-ade9849bd763,"Курынова, 11 К2",35,1,7,Евроремонт,1852
cf7401a0-a1e3-43eb-9e66-0270d3b51962,"Достоевского, 82/1",18,1,3,Евроремонт,1869
d40c0e9d-561e-4255-965d-169262c9f4f8,"Чистопольская, 81",50,1,6,Косметический,1910
588d9fc4-d063-498f-a69b-67eab570c8e5,"Ф.Амирхана, 17Б",73,2,2,Косметический,1608
bce1adae-d7de-42af-9159-19ed83f1697a,"Камалеева, 34",40,1,8,Без отделки,1852
0ec1f92f-99f7-4319-adb2-1eda88be001d,"Кирпичникова, 27",13,1,2,Косметический,1853
5f35dfd3-99ab-471d-876d-caa1b46e2db3,"Заслонова, 3",50,1,8,Косметический,1635
cbcd1490-05ae-4406-8760-08f659e2c511,"Павлюхина, 108Б",44,1,9,Евроремонт,1791
07034137-2e58-4066-b038-369230819eb0,"Чистопольская, 71Б",81,3,7,Евроремонт,1868
86a90b7c-fd5b-4218-abbe-0d4d4e6d2dc4,"Тазетдинова, 1",39,1,5,Без отделки,1911
78c66ba9-3348-4af8-8516-5a3b8da05cdb,"Урманче, 1",95,3,12,Евроремонт,1911
c427ddd6-af14-4efc-8ff4-a7c2608348bb,"Ямашева, 101",65,3,2,Косметический,1579
5faf121f-6205-43f7-9b61-ebccda8c14c9,"Губкина, 12Б",36,1,1,Евроремонт,1609
9f0e8ae8-309a-4b35-ae8f-572f93ed8eae,"Зорге, 105",34,1,7,Евроремонт,1547
e7198f4c-1d8f-4df6-8837-dc27566aa66a,"Победы, 139 К3",40,1,12,Евроремонт,1518
